GTIN,Item ID,Item Description,SOS Type,Vendor,Vendor Name,,Warehouse,,,,,"POG Publishing 
Date",,,POG Finalization Date,Forecaster,,,Replenisher Name,Store Number ,Store Division ,Store Activity,Store ID
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1305,LAKELAND,Dropped,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1306,JACKSONVILLE,Dropped,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1351,JACKSONVILLE,Dropped,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1365,JACKSONVILLE,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1376,JACKSONVILLE,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1401,JACKSONVILLE,Dropped,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1437,JACKSONVILLE,Dropped,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1448,JACKSONVILLE,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1530,JACKSONVILLE,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1600,LAKELAND,Dropped,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1657,MIAMI,Dropped,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1670,LAKELAND,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1709,JACKSONVILLE,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1723,LAKELAND,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1776,MIAMI,Dropped,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1781,LAKELAND,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1784,JACKSONVILLE,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1800,MIAMI,Dropped,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1820,JACKSONVILLE,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1829,JACKSONVILLE,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1848,LAKELAND,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,2023,JACKSONVILLE,Dropped,
